sr.no,Name of Product,Name of Ingredients,Brand,Category,Ingredients Details,Ingredient Type,Is Harmful,Reason for Harm,Daily Limit,Suitable for Kids,Suitable for Teens,Suitable for Elderly,Nutritional Impact,Healthy Alternatives,Alternative Description,Translation Availability,Harmful Ingredient Count,Total Ingredients,Country of Manufacture,Expiration Date
834,Cadbury Dairy Milk,Milk,Lay's,Dairy Products,"Carbonated Water, Sugar",Sweetener,Yes,None,As Desired,No,No,Yes,High in calcium and protein,Dark Chocolate,Healthy and natural alternatives,English,1,2,USA,14 days from packing
835,Britannia Biscuits,Carbonated Water,Haldiram's,Frozen Foods,"Potatoes, Oil, Salt",Protein,Yes,Allergen Content,200g per day,No,No,No,High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,2,3,Australia,7 days from packing
836,Cadbury Dairy Milk,Potatoes,Lay's,Dairy Products,"Potatoes, Vegetable Oil, Salt",Sweetener,Yes,Allergen Content,200g per day,Yes,Yes (Occasional),Limited,Sweet treat with high sugar content,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,India,5 days from packing
837,Britannia Biscuits,Potatoes,Coca-Cola,Beverages,"Carbonated Water, Sugar",Dairy,Yes,Allergen Content,200g per day,Yes (Occasional),Limited,No,High in calcium and protein,Dark Chocolate,Healthy and natural alternatives,English,1,2,USA,7 days from packing
838,McCain French Fries,Flour,Coca-Cola,Dairy Products,"Carbonated Water, Sugar",Sweetener,No,Chemical Additives,100g per day,Yes,Yes,No,High sugar content with quick energy boost,Homemade Snacks,Healthy and natural alternatives,English,0,2,Canada,14 days from packing
839,Cadbury Dairy Milk,Milk Chocolate,Coca-Cola,Confectionery,"Flour, Butter, Sugar",Carbohydrate,Yes,Chemical Additives,Moderate Intake,Yes (Occasional),Yes,Yes,Sweet treat with high sugar content,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,Mexico,5 days from packing
840,Coca-Cola Classic,Flour,Coca-Cola,Snacks,"Potatoes, Vegetable Oil, Salt",Protein,Yes,Allergen Content,100g per day,Limited,Yes,Yes (Occasional),High in calcium and protein,Baked Fries,Healthy and natural alternatives,English,2,3,India,14 days from packing
841,Britannia Biscuits,Milk,Coca-Cola,Beverages,"Potatoes, Vegetable Oil, Salt",Fat,Yes,Allergen Content,100g per day,Yes (Occasional),Yes (Occasional),Yes (Occasional),Rich in fat and carbohydrates,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,Canada,14 days from packing
842,McCain French Fries,Carbonated Water,Nestle,Frozen Foods,"Milk, Sugar, Culture",Additive,Yes,Allergen Content,Moderate Intake,Yes (Occasional),Yes (Occasional),Limited,Source of fiber and moderate sugar,Homemade Snacks,Healthy and natural alternatives,English,1,3,Australia,14 days from packing
843,Coca-Cola Classic,Milk,Lay's,Frozen Foods,"Carbonated Water, Sugar",Protein,No,None,100g per day,No,Yes (Occasional),Yes (Occasional),High sugar content with quick energy boost,Homemade Snacks,Healthy and natural alternatives,English,1,2,India,5 days from packing
844,Epigamia Greek Yogurt,Flour,Coca-Cola,Confectionery,"Flour, Butter, Sugar",Dairy,No,Chemical Additives,100g per day,Limited,Yes (Occasional),Limited,Sweet treat with high sugar content,Baked Fries,Healthy and natural alternatives,English,2,3,USA,7 days from packing
845,Cadbury Dairy Milk,Potatoes,Britannia,Snacks,"Potatoes, Oil, Salt",Carbohydrate,Yes,Chemical Additives,As Desired,Yes,Limited,Yes (Occasional),Rich in fat and carbohydrates,Sugar-free Drinks,Healthy and natural alternatives,English,1,3,USA,5 days from packing
846,Cadbury Dairy Milk,Milk,Coca-Cola,Dairy Products,"Flour, Butter, Sugar",Additive,No,Allergen Content,100g per day,Yes,Limited,Limited,High sugar content with quick energy boost,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,Mexico,7 days from packing
847,Epigamia Greek Yogurt,Potatoes,Coca-Cola,Dairy Products,"Milk, Sugar, Culture",Carbohydrate,No,Chemical Additives,100g per day,Yes (Occasional),Yes (Occasional),Yes,High sugar content with quick energy boost,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,Mexico,5 days from packing
848,Lay's Chips,Milk,Nestle,Dairy Products,"Milk Chocolate, Sugar",Fat,Yes,Chemical Additives,100g per day,No,Yes (Occasional),Limited,Provides energy but may contribute to weight gain,Homemade Snacks,Healthy and natural alternatives,English,0,2,Canada,5 days from packing
849,Coca-Cola Classic,Milk,Coca-Cola,Dairy Products,"Potatoes, Vegetable Oil, Salt",Fat,Yes,Allergen Content,200g per day,Limited,No,No,Source of fiber and moderate sugar,Dark Chocolate,Healthy and natural alternatives,English,2,3,Australia,7 days from packing
850,Coca-Cola Classic,Milk,Lay's,Beverages,"Carbonated Water, Sugar",Additive,No,None,100g per day,Limited,Limited,Limited,Source of fiber and moderate sugar,Homemade Snacks,Healthy and natural alternatives,English,2,2,Mexico,7 days from packing
851,Britannia Biscuits,Potatoes,Coca-Cola,Dairy Products,"Milk Chocolate, Sugar",Carbohydrate,Yes,None,100g per day,Yes,No,Yes,Provides energy but may contribute to weight gain,Whole-grain Biscuits,Healthy and natural alternatives,English,1,2,Mexico,5 days from packing
852,Lay's Chips,Potatoes,Lay's,Beverages,"Milk Chocolate, Sugar",Dairy,No,None,Moderate Intake,Yes (Occasional),Yes (Occasional),Yes (Occasional),Rich in fat and carbohydrates,Baked Fries,Healthy and natural alternatives,English,0,2,Canada,14 days from packing
853,Coca-Cola Classic,Milk,Lay's,Beverages,"Potatoes, Vegetable Oil, Salt",Dairy,No,Allergen Content,As Desired,Limited,Limited,Yes (Occasional),Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,2,3,Australia,7 days from packing
854,Coca-Cola Classic,Potatoes,Nestle,Frozen Foods,"Carbonated Water, Sugar",Fat,No,High Sodium,100g per day,No,Yes,Yes,Provides energy but may contribute to weight gain,Baked Fries,Healthy and natural alternatives,English,2,2,USA,14 days from packing
855,Cadbury Dairy Milk,Potatoes,Coca-Cola,Snacks,"Milk, Sugar, Culture",Additive,No,Allergen Content,100g per day,Limited,Yes,Limited,High sugar content with quick energy boost,Dark Chocolate,Healthy and natural alternatives,English,0,3,Canada,5 days from packing
856,McCain French Fries,Flour,Coca-Cola,Beverages,"Milk Chocolate, Sugar",Additive,Yes,High Sodium,100g per day,Yes (Occasional),Yes (Occasional),Yes (Occasional),Rich in fat and carbohydrates,Organic Yogurt,Healthy and natural alternatives,English,1,2,Canada,7 days from packing
857,Coca-Cola Classic,Potatoes,Britannia,Dairy Products,"Potatoes, Oil, Salt",Dairy,Yes,Allergen Content,100g per day,No,Yes (Occasional),Yes (Occasional),Sweet treat with high sugar content,Organic Yogurt,Healthy and natural alternatives,English,0,3,Canada,7 days from packing
858,Cadbury Dairy Milk,Milk,Lay's,Beverages,"Flour, Butter, Sugar",Additive,No,None,200g per day,Limited,Yes (Occasional),Limited,Provides energy but may contribute to weight gain,Organic Yogurt,Healthy and natural alternatives,English,1,3,India,7 days from packing
859,Epigamia Greek Yogurt,Potatoes,Coca-Cola,Confectionery,"Milk, Sugar, Culture",Additive,Yes,None,200g per day,Yes (Occasional),Yes (Occasional),Yes (Occasional),High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,1,3,Mexico,5 days from packing
860,Lay's Chips,Milk,Britannia,Dairy Products,"Milk, Sugar, Culture",Carbohydrate,Yes,None,Moderate Intake,Yes (Occasional),No,Yes (Occasional),High sugar content with quick energy boost,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,Australia,5 days from packing
861,Britannia Biscuits,Potatoes,Amul,Dairy Products,"Milk, Sugar, Culture",Fat,Yes,None,As Desired,Yes,No,Limited,High sugar content with quick energy boost,Homemade Snacks,Healthy and natural alternatives,English,0,3,Australia,14 days from packing
862,Britannia Biscuits,Potatoes,Britannia,Frozen Foods,"Potatoes, Oil, Salt",Dairy,No,High Sodium,Moderate Intake,No,No,Limited,High sugar content with quick energy boost,Sugar-free Drinks,Healthy and natural alternatives,English,1,3,Australia,14 days from packing
863,Cadbury Dairy Milk,Milk,Britannia,Dairy Products,"Milk, Sugar, Culture",Protein,No,Allergen Content,Moderate Intake,No,Yes,No,Rich in fat and carbohydrates,Organic Yogurt,Healthy and natural alternatives,English,1,3,Canada,5 days from packing
864,Lay's Chips,Milk Chocolate,Amul,Frozen Foods,"Potatoes, Vegetable Oil, Salt",Protein,No,High Sodium,As Desired,No,Yes,Limited,High sugar content with quick energy boost,Dark Chocolate,Healthy and natural alternatives,English,1,3,Mexico,5 days from packing
865,Coca-Cola Classic,Potatoes,Nestle,Frozen Foods,"Flour, Butter, Sugar",Additive,No,High Sodium,200g per day,Limited,Yes,Yes,Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,1,3,Canada,7 days from packing
866,Cadbury Dairy Milk,Flour,Britannia,Confectionery,"Carbonated Water, Sugar",Protein,No,High Sodium,200g per day,Limited,No,Yes,Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,2,2,Mexico,14 days from packing
867,Coca-Cola Classic,Carbonated Water,Lay's,Confectionery,"Milk, Sugar, Culture",Protein,Yes,High Sodium,100g per day,Yes,Limited,Yes (Occasional),High sugar content with quick energy boost,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,Australia,14 days from packing
868,Coca-Cola Classic,Milk Chocolate,Lay's,Beverages,"Potatoes, Oil, Salt",Additive,No,Allergen Content,100g per day,Limited,Yes (Occasional),Limited,High in calcium and protein,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,Canada,5 days from packing
869,Epigamia Greek Yogurt,Potatoes,Haldiram's,Beverages,"Potatoes, Oil, Salt",Sweetener,No,None,Moderate Intake,Limited,Yes (Occasional),Limited,High sugar content with quick energy boost,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,USA,5 days from packing
870,Epigamia Greek Yogurt,Milk,Lay's,Snacks,"Milk, Sugar, Culture",Additive,Yes,High Sodium,As Desired,No,Yes (Occasional),No,High in calcium and protein,Homemade Snacks,Healthy and natural alternatives,English,2,3,USA,7 days from packing
871,McCain French Fries,Milk,Nestle,Frozen Foods,"Flour, Butter, Sugar",Additive,No,Allergen Content,Moderate Intake,No,Yes (Occasional),Yes (Occasional),Rich in fat and carbohydrates,Homemade Snacks,Healthy and natural alternatives,English,2,3,USA,7 days from packing
872,Cadbury Dairy Milk,Carbonated Water,Amul,Beverages,"Carbonated Water, Sugar",Carbohydrate,Yes,High Sodium,Moderate Intake,Limited,Limited,Yes (Occasional),Rich in fat and carbohydrates,Organic Yogurt,Healthy and natural alternatives,English,2,2,USA,14 days from packing
873,Coca-Cola Classic,Milk Chocolate,Britannia,Dairy Products,"Potatoes, Vegetable Oil, Salt",Dairy,No,Allergen Content,Moderate Intake,Limited,No,Limited,Source of fiber and moderate sugar,Organic Yogurt,Healthy and natural alternatives,English,0,3,Canada,14 days from packing
874,Coca-Cola Classic,Potatoes,Nestle,Confectionery,"Milk, Sugar, Culture",Protein,No,Allergen Content,Moderate Intake,Yes (Occasional),Limited,Limited,High in calcium and protein,Sugar-free Drinks,Healthy and natural alternatives,English,1,3,USA,5 days from packing
875,Lay's Chips,Carbonated Water,Coca-Cola,Dairy Products,"Potatoes, Oil, Salt",Additive,Yes,Allergen Content,100g per day,No,Yes,No,High sugar content with quick energy boost,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,Mexico,7 days from packing
876,Epigamia Greek Yogurt,Potatoes,Coca-Cola,Snacks,"Flour, Butter, Sugar",Sweetener,Yes,Allergen Content,As Desired,Yes,Yes (Occasional),Limited,Source of fiber and moderate sugar,Dark Chocolate,Healthy and natural alternatives,English,2,3,Canada,7 days from packing
877,McCain French Fries,Carbonated Water,Lay's,Snacks,"Milk, Sugar, Culture",Carbohydrate,Yes,Allergen Content,Moderate Intake,Yes,Limited,Yes (Occasional),High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,2,3,Mexico,5 days from packing
878,Britannia Biscuits,Flour,Lay's,Snacks,"Milk Chocolate, Sugar",Additive,No,High Sodium,Moderate Intake,Limited,Limited,Limited,Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,1,2,India,14 days from packing
879,Lay's Chips,Carbonated Water,Nestle,Confectionery,"Potatoes, Vegetable Oil, Salt",Carbohydrate,No,Allergen Content,200g per day,Limited,Yes (Occasional),Limited,High sugar content with quick energy boost,Homemade Snacks,Healthy and natural alternatives,English,1,3,USA,14 days from packing
880,Britannia Biscuits,Potatoes,Nestle,Snacks,"Potatoes, Oil, Salt",Additive,Yes,Chemical Additives,Moderate Intake,Limited,Yes (Occasional),Yes,High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,1,3,India,14 days from packing
881,Epigamia Greek Yogurt,Potatoes,Haldiram's,Snacks,"Flour, Butter, Sugar",Carbohydrate,Yes,Allergen Content,200g per day,No,No,No,High in calcium and protein,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,Australia,7 days from packing
882,Epigamia Greek Yogurt,Milk,Haldiram's,Frozen Foods,"Milk Chocolate, Sugar",Fat,Yes,High Sodium,200g per day,Yes (Occasional),No,Yes,High in calcium and protein,Homemade Snacks,Healthy and natural alternatives,English,2,2,Canada,5 days from packing
883,McCain French Fries,Carbonated Water,Nestle,Frozen Foods,"Milk Chocolate, Sugar",Additive,Yes,Allergen Content,Moderate Intake,Limited,No,Yes (Occasional),Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,1,2,India,14 days from packing
884,Coca-Cola Classic,Carbonated Water,Coca-Cola,Beverages,"Milk Chocolate, Sugar",Carbohydrate,No,High Sodium,As Desired,Limited,Yes,Yes,Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,2,2,India,14 days from packing
885,Epigamia Greek Yogurt,Carbonated Water,Lay's,Beverages,"Potatoes, Vegetable Oil, Salt",Fat,Yes,Allergen Content,100g per day,Yes,Limited,Yes (Occasional),Sweet treat with high sugar content,Organic Yogurt,Healthy and natural alternatives,English,1,3,USA,7 days from packing
886,McCain French Fries,Flour,Coca-Cola,Dairy Products,"Milk, Sugar, Culture",Protein,No,Allergen Content,Moderate Intake,No,Yes (Occasional),No,High sugar content with quick energy boost,Sugar-free Drinks,Healthy and natural alternatives,English,1,3,Mexico,7 days from packing
887,Coca-Cola Classic,Potatoes,Nestle,Dairy Products,"Potatoes, Vegetable Oil, Salt",Dairy,Yes,None,Moderate Intake,No,No,Limited,Rich in fat and carbohydrates,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,Mexico,7 days from packing
888,Coca-Cola Classic,Carbonated Water,Amul,Frozen Foods,"Potatoes, Oil, Salt",Fat,Yes,High Sodium,200g per day,Yes (Occasional),No,No,High sugar content with quick energy boost,Homemade Snacks,Healthy and natural alternatives,English,2,3,Australia,7 days from packing
889,Britannia Biscuits,Milk,Lay's,Beverages,"Flour, Butter, Sugar",Fat,Yes,None,100g per day,Yes (Occasional),Yes,Yes (Occasional),Source of fiber and moderate sugar,Organic Yogurt,Healthy and natural alternatives,English,1,3,USA,7 days from packing
890,Coca-Cola Classic,Potatoes,Haldiram's,Confectionery,"Potatoes, Oil, Salt",Dairy,Yes,High Sodium,Moderate Intake,Limited,No,Limited,High in calcium and protein,Organic Yogurt,Healthy and natural alternatives,English,0,3,Mexico,5 days from packing
891,Lay's Chips,Potatoes,Nestle,Snacks,"Milk Chocolate, Sugar",Sweetener,No,Chemical Additives,Moderate Intake,No,No,No,Sweet treat with high sugar content,Sugar-free Drinks,Healthy and natural alternatives,English,1,2,Canada,7 days from packing
892,Cadbury Dairy Milk,Milk,Britannia,Dairy Products,"Milk, Sugar, Culture",Carbohydrate,No,Chemical Additives,Moderate Intake,Limited,Yes (Occasional),Yes (Occasional),Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,USA,5 days from packing
893,Epigamia Greek Yogurt,Carbonated Water,Nestle,Frozen Foods,"Flour, Butter, Sugar",Fat,No,Chemical Additives,Moderate Intake,Limited,Yes (Occasional),Yes (Occasional),Rich in fat and carbohydrates,Organic Yogurt,Healthy and natural alternatives,English,2,3,Mexico,14 days from packing
894,Britannia Biscuits,Milk Chocolate,Britannia,Confectionery,"Milk, Sugar, Culture",Sweetener,Yes,Allergen Content,Moderate Intake,Yes,Yes,Yes (Occasional),Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,1,3,USA,7 days from packing
895,McCain French Fries,Potatoes,Amul,Snacks,"Milk, Sugar, Culture",Dairy,No,Allergen Content,Moderate Intake,No,Yes (Occasional),No,Source of fiber and moderate sugar,Homemade Snacks,Healthy and natural alternatives,English,2,3,USA,5 days from packing
896,Britannia Biscuits,Milk Chocolate,Haldiram's,Confectionery,"Carbonated Water, Sugar",Dairy,No,Allergen Content,Moderate Intake,Yes,Yes (Occasional),Yes,Sweet treat with high sugar content,Whole-grain Biscuits,Healthy and natural alternatives,English,2,2,Australia,5 days from packing
897,Britannia Biscuits,Milk Chocolate,Haldiram's,Confectionery,"Milk, Sugar, Culture",Protein,Yes,Allergen Content,200g per day,Yes (Occasional),Yes,Yes,Rich in fat and carbohydrates,Organic Yogurt,Healthy and natural alternatives,English,0,3,Canada,5 days from packing
898,Coca-Cola Classic,Potatoes,Nestle,Confectionery,"Milk, Sugar, Culture",Sweetener,No,Allergen Content,Moderate Intake,No,Yes,Yes (Occasional),Sweet treat with high sugar content,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,Australia,14 days from packing
899,Epigamia Greek Yogurt,Milk Chocolate,Amul,Confectionery,"Potatoes, Vegetable Oil, Salt",Carbohydrate,Yes,Chemical Additives,As Desired,No,Limited,Yes,High in calcium and protein,Homemade Snacks,Healthy and natural alternatives,English,1,3,Canada,7 days from packing
900,McCain French Fries,Potatoes,Haldiram's,Frozen Foods,"Milk Chocolate, Sugar",Fat,No,High Sodium,As Desired,Yes,Limited,Limited,Sweet treat with high sugar content,Whole-grain Biscuits,Healthy and natural alternatives,English,2,2,USA,14 days from packing
901,Lay's Chips,Potatoes,Amul,Snacks,"Carbonated Water, Sugar",Additive,Yes,Allergen Content,Moderate Intake,Yes,Yes (Occasional),Yes (Occasional),Sweet treat with high sugar content,Dark Chocolate,Healthy and natural alternatives,English,0,2,USA,14 days from packing
902,Britannia Biscuits,Potatoes,Lay's,Dairy Products,"Milk, Sugar, Culture",Carbohydrate,No,High Sodium,As Desired,Limited,No,No,Rich in fat and carbohydrates,Sugar-free Drinks,Healthy and natural alternatives,English,1,3,India,5 days from packing
903,Coca-Cola Classic,Milk Chocolate,Nestle,Confectionery,"Carbonated Water, Sugar",Carbohydrate,Yes,High Sodium,100g per day,Yes,Yes,Yes,Sweet treat with high sugar content,Organic Yogurt,Healthy and natural alternatives,English,2,2,Mexico,5 days from packing
904,Epigamia Greek Yogurt,Carbonated Water,Nestle,Dairy Products,"Milk, Sugar, Culture",Dairy,No,High Sodium,100g per day,Limited,Yes,Yes (Occasional),Provides energy but may contribute to weight gain,Homemade Snacks,Healthy and natural alternatives,English,1,3,India,7 days from packing
905,Cadbury Dairy Milk,Carbonated Water,Haldiram's,Confectionery,"Potatoes, Oil, Salt",Sweetener,Yes,None,100g per day,Limited,Limited,Yes,Sweet treat with high sugar content,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,Canada,7 days from packing
906,Lay's Chips,Potatoes,Haldiram's,Confectionery,"Carbonated Water, Sugar",Fat,Yes,High Sodium,Moderate Intake,No,Yes,Yes (Occasional),Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,2,2,Canada,7 days from packing
907,Britannia Biscuits,Flour,Haldiram's,Snacks,"Potatoes, Vegetable Oil, Salt",Sweetener,No,Allergen Content,Moderate Intake,Yes,Yes (Occasional),Yes (Occasional),Sweet treat with high sugar content,Baked Fries,Healthy and natural alternatives,English,1,3,Canada,5 days from packing
908,Cadbury Dairy Milk,Flour,Britannia,Beverages,"Flour, Butter, Sugar",Additive,No,Chemical Additives,100g per day,Yes,Yes,Yes,High sugar content with quick energy boost,Homemade Snacks,Healthy and natural alternatives,English,0,3,India,5 days from packing
909,Cadbury Dairy Milk,Flour,Lay's,Dairy Products,"Potatoes, Oil, Salt",Additive,Yes,Allergen Content,As Desired,Yes (Occasional),Yes (Occasional),Yes,Provides energy but may contribute to weight gain,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,Australia,5 days from packing
910,Cadbury Dairy Milk,Potatoes,Britannia,Confectionery,"Carbonated Water, Sugar",Sweetener,No,High Sodium,As Desired,Yes (Occasional),Yes,Yes,Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,2,2,Australia,14 days from packing
911,Cadbury Dairy Milk,Potatoes,Nestle,Beverages,"Potatoes, Vegetable Oil, Salt",Dairy,Yes,None,200g per day,No,Yes,No,Provides energy but may contribute to weight gain,Organic Yogurt,Healthy and natural alternatives,English,0,3,Australia,7 days from packing
912,Britannia Biscuits,Potatoes,Amul,Frozen Foods,"Potatoes, Oil, Salt",Additive,No,High Sodium,As Desired,Yes (Occasional),Limited,No,Source of fiber and moderate sugar,Dark Chocolate,Healthy and natural alternatives,English,1,3,USA,7 days from packing
913,Epigamia Greek Yogurt,Carbonated Water,Britannia,Dairy Products,"Carbonated Water, Sugar",Sweetener,Yes,Allergen Content,100g per day,Yes (Occasional),Limited,Yes (Occasional),Rich in fat and carbohydrates,Baked Fries,Healthy and natural alternatives,English,0,2,Mexico,14 days from packing
914,Cadbury Dairy Milk,Carbonated Water,Britannia,Dairy Products,"Milk Chocolate, Sugar",Protein,Yes,None,100g per day,Yes (Occasional),Limited,Limited,Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,0,2,India,14 days from packing
915,Britannia Biscuits,Carbonated Water,Nestle,Frozen Foods,"Potatoes, Oil, Salt",Sweetener,Yes,High Sodium,As Desired,Yes (Occasional),Limited,No,High sugar content with quick energy boost,Homemade Snacks,Healthy and natural alternatives,English,2,3,Canada,7 days from packing
916,Britannia Biscuits,Milk,Lay's,Snacks,"Potatoes, Oil, Salt",Carbohydrate,No,Chemical Additives,As Desired,Yes (Occasional),Limited,Limited,Source of fiber and moderate sugar,Organic Yogurt,Healthy and natural alternatives,English,0,3,India,5 days from packing
917,Lay's Chips,Milk,Coca-Cola,Dairy Products,"Carbonated Water, Sugar",Additive,Yes,None,200g per day,Yes (Occasional),Limited,Limited,Provides energy but may contribute to weight gain,Sugar-free Drinks,Healthy and natural alternatives,English,1,2,Mexico,14 days from packing
918,Coca-Cola Classic,Potatoes,Lay's,Beverages,"Potatoes, Oil, Salt",Dairy,Yes,High Sodium,As Desired,Yes (Occasional),Yes (Occasional),No,Rich in fat and carbohydrates,Dark Chocolate,Healthy and natural alternatives,English,0,3,Australia,14 days from packing
919,McCain French Fries,Carbonated Water,Lay's,Beverages,"Flour, Butter, Sugar",Carbohydrate,Yes,None,As Desired,No,Limited,Yes,Sweet treat with high sugar content,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,USA,14 days from packing
920,Cadbury Dairy Milk,Carbonated Water,Amul,Confectionery,"Milk Chocolate, Sugar",Carbohydrate,No,Allergen Content,100g per day,Yes (Occasional),No,No,High sugar content with quick energy boost,Homemade Snacks,Healthy and natural alternatives,English,0,2,Canada,7 days from packing
921,Epigamia Greek Yogurt,Milk Chocolate,Coca-Cola,Confectionery,"Flour, Butter, Sugar",Carbohydrate,No,High Sodium,Moderate Intake,No,Yes (Occasional),Limited,Source of fiber and moderate sugar,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,Canada,14 days from packing
922,Epigamia Greek Yogurt,Potatoes,Amul,Snacks,"Potatoes, Vegetable Oil, Salt",Protein,No,High Sodium,200g per day,No,Yes,No,Source of fiber and moderate sugar,Dark Chocolate,Healthy and natural alternatives,English,0,3,Mexico,14 days from packing
923,McCain French Fries,Carbonated Water,Lay's,Confectionery,"Milk Chocolate, Sugar",Additive,No,None,Moderate Intake,Limited,Limited,Limited,High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,2,2,Canada,14 days from packing
924,Britannia Biscuits,Milk,Lay's,Snacks,"Flour, Butter, Sugar",Dairy,Yes,None,As Desired,Limited,Limited,Yes (Occasional),Provides energy but may contribute to weight gain,Baked Fries,Healthy and natural alternatives,English,2,3,Australia,5 days from packing
925,Cadbury Dairy Milk,Potatoes,Coca-Cola,Beverages,"Milk, Sugar, Culture",Additive,Yes,None,Moderate Intake,Yes,Yes (Occasional),Yes (Occasional),Provides energy but may contribute to weight gain,Baked Fries,Healthy and natural alternatives,English,1,3,India,7 days from packing
926,Epigamia Greek Yogurt,Potatoes,Nestle,Dairy Products,"Flour, Butter, Sugar",Dairy,Yes,None,Moderate Intake,Yes (Occasional),No,No,High sugar content with quick energy boost,Homemade Snacks,Healthy and natural alternatives,English,2,3,India,7 days from packing
927,McCain French Fries,Potatoes,Nestle,Frozen Foods,"Potatoes, Oil, Salt",Carbohydrate,Yes,High Sodium,As Desired,No,Limited,Yes,Sweet treat with high sugar content,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,India,5 days from packing
928,Coca-Cola Classic,Flour,Britannia,Confectionery,"Milk Chocolate, Sugar",Sweetener,No,Chemical Additives,100g per day,No,Yes (Occasional),Limited,Rich in fat and carbohydrates,Baked Fries,Healthy and natural alternatives,English,2,2,Canada,5 days from packing
929,Britannia Biscuits,Carbonated Water,Amul,Confectionery,"Flour, Butter, Sugar",Protein,Yes,None,As Desired,Yes (Occasional),No,Yes (Occasional),Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,0,3,Australia,14 days from packing
930,Coca-Cola Classic,Milk Chocolate,Amul,Snacks,"Milk, Sugar, Culture",Fat,No,High Sodium,200g per day,Yes,Limited,Limited,Sweet treat with high sugar content,Organic Yogurt,Healthy and natural alternatives,English,2,3,Mexico,5 days from packing
931,McCain French Fries,Milk,Amul,Beverages,"Carbonated Water, Sugar",Carbohydrate,No,High Sodium,200g per day,Yes,Yes (Occasional),No,High sugar content with quick energy boost,Dark Chocolate,Healthy and natural alternatives,English,1,2,Australia,5 days from packing
932,McCain French Fries,Potatoes,Coca-Cola,Frozen Foods,"Flour, Butter, Sugar",Sweetener,No,High Sodium,100g per day,Yes (Occasional),Yes,Yes (Occasional),Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,2,3,USA,14 days from packing
933,Lay's Chips,Flour,Coca-Cola,Confectionery,"Flour, Butter, Sugar",Protein,Yes,Chemical Additives,As Desired,No,Limited,Yes,Rich in fat and carbohydrates,Organic Yogurt,Healthy and natural alternatives,English,1,3,Mexico,14 days from packing
934,Lay's Chips,Flour,Lay's,Frozen Foods,"Milk Chocolate, Sugar",Protein,Yes,Allergen Content,100g per day,Yes,Limited,Yes (Occasional),Provides energy but may contribute to weight gain,Homemade Snacks,Healthy and natural alternatives,English,2,2,India,5 days from packing
935,Coca-Cola Classic,Milk Chocolate,Nestle,Dairy Products,"Milk, Sugar, Culture",Sweetener,Yes,High Sodium,Moderate Intake,Yes (Occasional),Limited,Limited,Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,Canada,5 days from packing
936,McCain French Fries,Milk,Britannia,Dairy Products,"Carbonated Water, Sugar",Carbohydrate,Yes,None,Moderate Intake,Limited,Yes,Limited,Source of fiber and moderate sugar,Organic Yogurt,Healthy and natural alternatives,English,2,2,Canada,14 days from packing
937,Lay's Chips,Flour,Amul,Dairy Products,"Milk, Sugar, Culture",Sweetener,Yes,High Sodium,Moderate Intake,Yes,Yes (Occasional),No,Provides energy but may contribute to weight gain,Organic Yogurt,Healthy and natural alternatives,English,0,3,Mexico,5 days from packing
